author,date,	files_changed,	lines_changed,	insertions,	deletions,	normalized_changes,	avg_lines,	avg_norm
spqrta	,11-06-19	,45	,1273	,1238	,35	,700	,1273	,700	
spqrta	,12-06-19	,36	,777	,707	,70	,875	,1025	,788	
spqrta	,13-06-19	,21	,329	,268	,61	,375	,793	,650	
spqrta	,14-06-19	,5	,128	,128	,0	,525	,627	,619	
spqrta	,19-06-19	,44	,728	,614	,114	,1150	,647	,725	
spqrta	,20-06-19	,20	,359	,268	,91	,1275	,599	,817	
spqrta	,21-06-19	,4	,71	,56	,15	,350	,524	,750	
spqrta	,25-06-19	,24	,314	,219	,95	,325	,497	,697	
spqrta	,27-06-19	,41	,1780	,1468	,312	,5550	,640	,1236	
spqrta	,02-07-19	,28	,736	,662	,74	,625	,650	,1175	
spqrta	,04-07-19	,23	,554	,420	,134	,1250	,641	,1182	
spqrta	,05-07-19	,19	,506	,321	,185	,2100	,630	,1258	
spqrta	,08-07-19	,23	,192	,120	,72	,200	,596	,1177	
spqrta	,09-07-19	,6	,309	,236	,73	,1100	,575	,1171	
spqrta	,11-07-19	,29	,478	,388	,90	,400	,569	,1120	
spqrta	,16-07-19	,8	,507	,499	,8	,1400	,565	,1138	
spqrta	,17-07-19	,54	,661	,563	,98	,2075	,571	,1193	
spqrta	,18-07-19	,36	,734	,551	,183	,1075	,580	,1186	
spqrta	,19-07-19	,57	,605	,510	,95	,1375	,581	,1196	
spqrta	,22-07-19	,55	,612	,391	,221	,2550	,583	,1264	
spqrta	,23-07-19	,11	,139	,83	,56	,375	,562	,1221	
spqrta	,25-07-19	,321	,1985	,1804	,181	,175	,626	,1174	
spqrta	,26-07-19	,57	,935	,808	,127	,2600	,640	,1236	
spqrta	,29-07-19	,33	,323	,261	,62	,250	,626	,1195	
